Event,Sentence,Words,Nb_Words,Links,Conditions
2N,$1A est,"locataire d’un 25 m² à 800e/mois,au chômage,au RSA,patron d’une PME,acteur,chanteur,développeur de jeux vidéo,agriculteur,en situation de handicap",3,"FIN33A,44N,44N,66N,7N,7N,99N,100N,111N",
3N,"La moitié du salaire de $1A lui sert à se loger. 
Alors $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN12A,13,FIN14A",
4N,"Parfois, $1A aimerait avoir une vie meilleure.
Alors $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN15A,FIN16A,FIN17A",
6N,"Le commerce de $1A est en difficulté. 
Alors $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN18A,FIN19A,FIN20A",
7N,Mais la carrière de $1A ne décolle pas vraiment. Alors quand $1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN21A,FIN22A,FIN23A",
9N,"Alors, entre deux burnouts, $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN24A,FIN25A,FIN26A",
10N,"Quand il a fini sa semaine de 60h, $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN27A,FIN28A,FIN29A",
11N,"En fait, $1A a surtout l’habitude de devoir se battre pour conserver son autonomie dans une société où la valeur d’un individu se réduit à sa productivité.
Alors $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN30A,FIN31A,FIN32A",
FIN12A,NFP Logement,,,,
FIN13A,RN Logement,,,,
FIN14A,EM Logement,,,,
FIN15A,NFP RSA/Chômage,,,,
FIN16A,RN RSA/Chômage,,,,
FIN17A,EM RSA/Chômage,,,,
FIN18A,NFP PME,,,,
FIN19A,RN PME,,,,
FIN20A,EM PME,,,,
FIN21A,$1A s’assure du maintien de son régime d’intermittent du spectacle. PROGRAMME NFP CULTURE,,,,
FIN22A,$1A doit stopper sa carrière faut de revenus. PROGRAMME RN CULTURE,,,,
FIN23A,$1A doit stopper sa carrière faut de revenus. PROGRAMME EM CULTURE,,,,
FIN24A,NFP jeux vidéo,,,,
FIN25A,RN jeux vidéo,,,,
FIN26A,LREM jeux vidéo,,,,
FIN27A,NFP Agri,,,,
FIN28A,RN Agri,,,,
FIN29A,LREM Agri,,,,
FIN30A,NFP Handicap,,,,
FIN31A,RN Handicap,,,,
FIN32A,EM Handicap,,,,
FIN33A,C’est pas facile de garder le morale quand,"on dort dans sa cuisine,on a le cafard,on a des cafards",3,"3N,3N,3N",
44N,"Quand on vit avec 800e/mois pour deux, c’est pas évident de","trouver du travail,manger à sa fin,s’acheter une Rolex",3,"4N,4N,4N",
66N,$1A avait toujours rêvé d’ouvrir,"un bar à écureuil,la porte du siège des Républicains,une librairie féministe",3,"6N,6N,6N",
99N,"Le mieux quand on fait des jeux vidéo, c’est qu’on peut","faire de notre travail un loisir,travailler 75h par semaine,se faire harceler par son patron",3,"9 N,9 N,9 N",
100N,"En ce moment, c’est","la récolte des fraises,le temps de cerises,la galère",3,"10N,10N,10N",
111N,"$1A est en situation de handicap. 
Bien sûr qu’il","adore recevoir l’aide non-sollicitée des passants,rêve d’être productif au travail,voudrait être normal",3,"11N,11N,11N",
2O,$1A habite,"en Corrèze, en Hollande, aux Pays-Bas",3,"3O,3O,3O",
3O,$1A is,"to be do,what you want to be do",2,"4O,4O",
4O,"Contre toute attente, $1A vote pour",le Nouveau Front Populaire,1,3L,
2P,"Plus tard, $1A sera","le Roi des Pirates,champion de natation,un membre de l’armée révolutionnaire",3,"3P,3P,3P",
3P,"S’il avait le droit de vote, $1A voterait pour",le Nouveau Front Populaire,1,FIN4P,
FIN4P,MANGAS FRONT NATIONAL,,,,
2Q,"Plus tard, $1A sera","le prochain Hokage,vendeur de ramens,éleveur de renards",3,"3Q,3Q,3Q",
3Q,S’il avait le droit de se présenter aux élections $1A serait devenu,"Premier Ministre,Maire d'un village caché de la forêt ",2,"4Q,4Q1",
4Q,Mais c’est pas grave parce qu’à la place on aura,"Mathilde Panot,Le Vieux,Ruffin,Poutou,n’importe qui du moment qu’iel peut défoncer Madara et Bardella",5,"FIN4P,FIN4P,FIN4P,FIN4P,FIN4P",
2R,"$1A a fait face à Eren. 
Maintenant c’est à notre de faire face","au RN, à Bardella",2,"FIN4P,3R",
3R,"Alors oui mais ça casse un peu le slogan en fait. 
Parce que Eren ça ressemble vachement à","RN, Bardella",2,"FIN4P,4R",
4R,"Ben non, toujours pas. 
Enfin tout ça pour dire que $1A elle aurait voté pour",le Nouveau Front Populaire,1,FIN4P,
2S,$1A il a quand même,"un sacré coup de tête,un front populaire,fait des trucs stylés avec un ballon",3,"3S,4S,3S",
4S,Au moins aussi populaire que,le Nouveau Front Populaire,1,FIN5S,
3S,"Et s’il était encore vivant, c’est sûr il voterait pour",le Nouveau Front Populaire,1,FIN5S,
FIN5S,NFP SPORT,,,,
2T,$1A il est,"toujours debout,assis sur un banc avec toi,assis sur ses convictions",3,"3T,3T,3T",
3T,Si $1A était encore vivant il aurait sûrement appelé à voter pour,le Nouveau Front Populaire,1,FIN4T,
FIN4T,Programme NFP culture et santé prévention alcoolisme,,,,
2U1,$1A elle a,"les yeux bleus,les yeux verts",2,2U,
2U2,$1A elle est,"pas à gauche,parisienne,pas à droite",3,"2U3,2U,2U4",
2U3,"Mais pour la première fois de sa vie, $1A fera barrage au fascisme et votera pour",le Nouveau Front Populaire,1,FIN2U6,
FIN2U6,Front national fondé par des fasciste,,,,
2U4,"Du coup, ben $1A elle vote pour",le Nouveau Front Populaire,1,FIN2U5,
FIN2U5,Front Populaire en 1936,,,,
2U,$1A est,"étudiante,infirmière,bi-nationale,femme de ménage,racisée,fatiguée,un abri-bus",3,"3U1,4U1,5U1,6U1,7U1,8U1,9U1",
3U1,"En principe, $1A est sensée","vivre avec 300e/mois,étudier 35h/semaines,habiter dans 8m²",3,"3U2,3U2,3U2",
3U2,"Dans les faits, $1A dépend surtout","des banques alimentaires d'urgence,de l'argent de ses parents,de son travail précaire et sous-payé qui l'empêche d'étudier",3,"3U3,3U3,3U3",
3U3,"Alors, entre deux partiels, $1A elle vote ","Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN3U4,FIN3U5,FIN3U6",
FIN3U4,Enseignement sup NFP,,,,
FIN3U5,Enseignement sup RN,,,,
FIN3U6,Enseignement sup EM,,,,
4U1,"$1A, elle travaille","4FIN8H/semaine,pour 1550e/mois",2,"4U2,4U2",
4U2,"Entre deux COVID, $1A elle vote ","Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN4U3,FIN4U4,FIN4U5",
FIN4U3,Hopital NFP,,3,,
FIN4U4,Hopital RN,,,,
FIN4U5,Hopital EM,,,,
5U1,"$1A aussi française que toi, mais un peu plus que","son grand-père arménien qui s'est battu contre le nazisme,le père de Marine qui a torturé des civils pour le fascisme",2,5U2,
5U2,Quand $1A vote ,"Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN5U3,FIN5U4,FIN5U5",
FIN5U3,Elle vote pour NFP étrangers,,,,
FIN5U4,Elle vote pour RN étrangers,,,,
FIN5U5,Elle vote pour EM étrangers,,,,
6U1,"$1A elle lave tes chiottes, pourtant elle a pas le droit ","d'aller voter,de bénéficier d'aides sociales",2,6U2,
6U2,"Alors, même si ça suffit pas, on vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN6U3,FIN6U4,FIN6U5",
FIN6U3,NFP étrangers,,,,
FIN6U4,RN étrangers,,,,
FIN6U5,EM étrangers,,,,
7U1,Juste parce qu'elle n'est pas blanche $1A elle,"se fait contrôler 10 fois plus par la police,se fait refuser des jobs",2,"7U2,7U2",
7U2,"Ca ne réglera pas tous ses problèmes, mais si elle vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN7U3,FIN7U4,FIN7U5",
FIN7U3,Racisme NFP,,,,
FIN7U4,Racisme RN,,,,
FIN7U5,Racisme EM,,,,
8U1,"Il faut que $1A aille se reposer.
Mais avant, elle veut","aller faire un porte à porte,appeler ses potes pour essayer de les convaincre,aller tracter à la sortie du métro",3,"FIN2A,FIN3A,FIN4A",
FIN2A,Comment faire du porte à porte,,,,
FIN3A,Comment tracter,,,,
FIN4A,Comment coller,,,,
9U1,$1A aime,"le bruit que fait de la pluie sur son dos,abriter celleux qui en ont besoin,quand les bus viennent s'arrêter devant elle",3,"9U2,9U2,9U2",
9U2,$1A n'aime pas,"les nazis,le prix du ticket de bus,les pubs transphobes",3,"9U3,9U3,9U3",
9U3,Alors $1A aimerait que les usagers des services publics des transports votent pour,le Nouveau Front Populaire,1,9U4,
9U4,Programme NFP transports,,,,
4Q1,"Naruto est donc probablement Breton. Mais Naruto ne peut pas voter, et à la place on aura","Mathilde Panot,Le Vieux,Ruffin,Poutou,n’importe qui du moment qu’iel peut défoncer Madara et Bardella",5,"FIN4P,FIN4P,FIN4P,FIN4P,FIN4P",
